4,3,5
9,8,0
14,13,1
19,18,2
24,23,0
29,28,2
32,3,5
37,36,1
42,41,0
45,8,2
32,28,4
49,28,1
53,41,3
56,41,5
60,59,0
63,18,5
67,66,2
9,8,2
73,72,1
76,59,0
49,28,3
19,23,3
9,82,0
85,23,1
88,36,2
91,36,4
94,93,0
98,97,0
63,18,2
103,8,5
29,66,3
109,93,3
91,28,2
115,23,2
117,36,4
120,18,4
67,72,3
125,18,3
129,28,2
132,18,2
135,8,2
138,82,5
14,93,2
49,36,0
76,82,0
145,36,0
98,13,3
94,13,4
152,93,0
138,97,2
94,72,5
29,23,2
53,66,0
45,72,4
29,18,5
91,28,1
166,97,3
166,13,2
129,28,1
172,8,4
91,59,2
67,18,0
177,23,5
180,8,2
183,36,0
125,8,4
187,41,5
190,36,4
135,93,4
109,59,2
4,36,2
138,36,4
53,82,3
132,18,2
145,72,4
4,202,0
49,36,4
76,41,0
177,13,5
53,8,3
172,82,1
212,82,0
45,13,0
120,82,5
14,202,0
19,3,3
29,3,5
91,97,0
138,28,2
172,3,0
42,3,0
145,28,0
228,18,5
230,13,4
145,97,5
76,23,1
120,202,3
228,18,1
94,202,1
94,3,1
63,82,4
9,36,3
4,72,3
228,3,0
166,3,1
88,202,0
37,28,2
166,72,4
32,41,5
228,8,3
230,66,0
76,8,0
60,18,3
125,93,5
145,41,4
228,82,3
166,41,2
53,28,1
183,18,3
9,202,3
138,82,0
187,82,5
24,202,2
212,72,2
273,13,1
4,13,2
103,13,3
19,59,0
152,28,4
132,13,0
73,202,4
273,72,2
284,66,4
88,18,2
29,202,1
9,36,2
109,202,4
4,93,3
24,72,0
183,13,1
45,28,5
172,202,4
60,3,2
91,202,5
230,59,5
9,23,0
14,8,2
120,202,0
85,3,1
115,59,3
180,82,4
187,23,0
14,202,4
284,13,4
24,82,4
230,97,3
56,8,5
19,97,0
49,36,4
42,28,4
94,66,1
187,28,4
37,72,5
42,202,3
98,36,2
129,13,5
42,41,0
67,8,0
180,202,5
45,93,3
98,72,3
129,13,0
172,28,2
94,23,1
49,59,3
273,72,0
339,202,5
42,8,4
117,66,0
45,3,3
76,59,5
145,93,5
88,72,1
187,82,1
67,41,1
14,41,2
49,82,3
4,36,4
49,28,1
357,18,4
76,28,2
53,36,5
45,18,1
177,28,5
117,66,0
172,3,1
190,23,1
88,82,4
273,202,1
45,82,2
115,23,5
183,41,2
145,202,0
117,23,5
339,18,3
67,36,2
73,82,2
115,13,3
14,82,2
37,97,3
42,97,1
125,13,3
88,8,5
19,23,0
60,28,3
103,36,5
4,72,0
14,97,3
115,202,1
339,28,5
76,13,3
76,72,0
45,93,5
42,202,5
42,93,1
230,28,2
94,36,5
32,3,2
56,28,0
273,82,5
49,13,1
190,36,5
63,97,2
103,59,2
76,97,3
56,18,5
4,66,0
339,66,4
152,202,1
180,93,4
187,72,0
135,3,1
357,8,2
187,23,4
166,41,2
152,18,2
129,66,2
24,8,0
4,28,3
183,97,5
45,28,4
125,97,2
88,97,2
125,93,2
49,18,3
85,97,0
166,202,1
183,59,1
273,202,0
339,82,4
4,59,4
284,8,0
4,36,2
37,97,3
138,28,2
129,41,0
120,41,5
56,18,4
76,13,1
132,202,4
187,93,1
45,3,0
85,93,3
339,18,2
9,36,5
14,202,3
4,97,4
120,72,2
98,8,5
187,59,4
120,66,0
76,59,5
29,18,4
187,18,2
177,202,5
85,13,5
135,18,4
73,36,4
129,23,0
135,23,5
115,97,0
357,202,0
32,36,3
230,97,4
129,93,2
67,36,2
109,13,0
187,82,5
152,23,3
117,59,4
32,72,2
177,3,0
60,23,5
187,82,0
45,36,5
19,18,4
183,82,5
357,66,2
19,41,5
14,13,4
53,72,1
129,72,5
132,59,2
76,97,3
177,23,4
177,97,5
9,41,3
73,36,0
103,59,5
4,72,1
138,36,3
94,3,1
183,72,5
230,82,0
177,72,1
120,93,5
177,82,0
67,3,1
109,3,1
91,23,0
339,97,1
63,3,5
129,3,3
138,13,5
145,36,5
85,59,4
339,36,5
49,36,4
120,23,1
29,82,5
230,202,4
9,36,5
9,59,2
19,36,4
152,66,4
56,18,5
63,36,1
29,82,2
42,59,4
117,82,1
132,28,18
190,41,14
37,202,6
94,41,14
67,59,58
49,28,18
180,36,3
183,3,3
29,23,35
76,202,6
4,23,35
73,18,9
53,3,3
212,36,3
120,66,22
45,23,35
91,41,14
32,41,14
339,41,14
284,93,50
37,202,6
37,59,58
339,82,40
24,202,6
172,13,13
14,13,13
166,41,14
172,72,33
190,23,35
230,82,40
24,59,58
187,93,50
67,93,50
172,13,13
37,23,35
42,59,58
4,36,3
103,13,13
76,82,40
187,82,40
14,8,9
42,82,40
91,3,3
76,28,18
117,97,13
53,3,3
4,41,14
9,8,9
88,59,58
42,93,50
180,59,58
125,82,40
228,82,40
67,82,40
166,72,33
183,97,13
187,41,14
109,41,14
98,28,18
19,202,6
180,66,22
132,18,9
91,202,6
138,8,9
115,13,13
4,41,14
45,8,9
138,66,22
138,59,58
56,59,58
152,3,3
145,18,9
125,72,33
37,3,3
357,18,9
76,41,14
63,18,9
73,41,14
29,72,33
103,18,9
56,23,35
60,28,18
45,59,58
115,8,9
73,93,50
135,3,3
32,93,50
29,23,35
132,59,58
284,8,9
180,82,40
125,93,50
19,66,22
190,97,13
85,3,3
129,202,6
14,41,14
37,18,9
73,72,33
145,18,9
183,72,33
63,28,18
45,202,6
145,8,9
212,66,22
98,97,13
228,66,22
76,13,13
60,28,18
273,8,9
339,93,50
98,97,13
138,8,9
273,97,13
85,59,58
135,3,3
135,59,58
135,82,40
120,18,9
4,82,40
91,18,9
228,66,22
4,93,50
120,18,9
19,66,22
45,59,58
138,66,22
117,36,3
73,36,3
172,59,58
187,202,6
32,28,18
339,59,58
37,8,9
115,59,58
56,36,3
190,8,9
49,28,18
60,97,13
53,3,3
60,41,14
190,8,9
132,41,14
56,18,9
117,82,40
98,97,13
29,28,18
63,41,14
273,3,3
29,18,9
37,28,18
24,36,3
94,59,58
284,36,3
42,66,22
109,66,22
273,41,14
60,59,58
135,97,13
115,97,13
49,93,50
132,3,3
29,28,18
177,59,58
183,8,9
73,36,3
56,82,40
98,72,33
67,41,14
145,28,18
98,8,9
37,97,13
152,3,3
117,202,6
152,23,35
115,36,3
166,23,35
190,23,35
94,8,9
172,23,35
284,72,33
9,72,33
273,3,3
45,23,35
45,93,50
152,97,13
49,97,13
109,66,22
138,97,13
187,23,35
103,13,13
14,97,13
103,202,6
94,93,50
357,72,33
135,202,6
4,3,3
115,72,33
187,13,13
172,59,58
88,59,58
125,3,3
172,28,18
190,93,50
273,66,22
85,97,13
24,3,3
138,13,13
135,8,9
32,23,35
166,18,9
19,23,35
88,28,18
228,8,9
125,59,58
9,28,18
228,8,9
180,93,50
4,202,6
152,66,22
172,36,3
63,23,35
125,97,13
53,3,3
357,36,3
91,13,13
177,82,40
29,66,22
37,3,3
45,97,13
73,202,6
14,28,18
187,82,40
98,66,22
56,36,3
63,13,13
177,28,18
45,18,9
339,97,13
125,3,3
94,202,6
45,93,50
187,3,3
19,202,6
85,36,3
19,23,35
14,72,33
9,82,40
103,41,14
129,202,6
56,97,5
190,28,0
190,36,1
125,36,4
172,72,5
109,59,2
230,59,3
339,93,0
166,8,3
190,8,5
